,gender,age,income,career,dec,attr,sinc,intel,fun,amb,like
27,0,25.0,,Economist,0,7.0,9.0,9.0,8.0,9.0,8.0
28,0,25.0,,Economist,0,9.0,9.0,9.0,9.0,9.0,9.0
29,0,25.0,,Economist,0,8.0,7.0,9.0,7.0,9.0,8.0
30,0,23.0,37754.0,lawyer/policy work,0,4.0,10.0,8.0,5.0,8.0,6.0
31,0,23.0,37754.0,lawyer/policy work,0,8.0,7.0,8.0,10.0,7.0,8.0
32,0,23.0,37754.0,lawyer/policy work,0,4.0,7.0,8.0,8.0,6.0,4.0
33,0,23.0,37754.0,lawyer/policy work,1,8.0,10.0,7.0,10.0,7.0,8.0
34,0,23.0,37754.0,lawyer/policy work,0,6.0,9.0,8.0,9.0,8.0,7.0
35,0,23.0,37754.0,lawyer/policy work,0,5.0,10.0,8.0,4.0,8.0,4.0
36,0,23.0,37754.0,lawyer/policy work,0,7.0,10.0,10.0,7.0,10.0,5.0
37,0,23.0,37754.0,lawyer/policy work,0,5.0,9.0,9.0,5.0,9.0,6.0
38,0,23.0,37754.0,lawyer/policy work,1,9.0,8.0,10.0,10.0,7.0,8.0
39,0,23.0,37754.0,lawyer/policy work,1,8.0,9.0,10.0,10.0,8.0,10.0
40,0,21.0,86340.0,lawyer,0,5.0,8.0,8.0,2.0,2.0,7.0
41,0,21.0,86340.0,lawyer,0,8.0,6.0,6.0,5.0,5.0,6.0
42,0,21.0,86340.0,lawyer,0,4.0,6.0,8.0,8.0,6.0,6.0
43,0,21.0,86340.0,lawyer,1,8.0,5.0,5.0,7.0,7.0,8.0
44,0,21.0,86340.0,lawyer,0,6.0,7.0,7.0,5.0,4.0,7.0
45,0,21.0,86340.0,lawyer,1,5.0,6.0,7.0,5.0,7.0,7.0
46,0,21.0,86340.0,lawyer,1,6.0,6.0,8.0,5.0,5.0,6.0
47,0,21.0,86340.0,lawyer,1,5.0,5.0,7.0,6.0,7.0,6.0
48,0,21.0,86340.0,lawyer,1,7.0,5.0,7.0,8.0,7.0,9.0
49,0,21.0,86340.0,lawyer,1,9.0,6.0,7.0,9.0,6.0,10.0
50,0,23.0,60304.0,lawyer,1,6.0,9.0,7.0,6.0,7.0,6.0
51,0,23.0,60304.0,lawyer,1,6.0,9.0,9.0,6.0,8.0,7.0
52,0,23.0,60304.0,lawyer,0,4.0,7.0,9.0,4.0,3.0,6.0
53,0,23.0,60304.0,lawyer,1,8.0,6.0,7.0,8.0,2.0,9.0
54,0,23.0,60304.0,lawyer,0,5.0,4.0,8.0,8.0,4.0,4.0
55,0,23.0,60304.0,lawyer,0,3.0,7.0,6.0,1.0,1.0,2.0
56,0,23.0,60304.0,lawyer,1,8.0,8.0,8.0,8.0,3.0,8.0
57,0,23.0,60304.0,lawyer,0,4.0,8.0,9.0,2.0,8.0,5.0
58,0,23.0,60304.0,lawyer,1,7.0,6.0,8.0,8.0,6.0,9.0
59,0,23.0,60304.0,lawyer,1,8.0,9.0,9.0,9.0,10.0,9.0
60,0,22.0,54620.0,Law,0,4.0,8.0,8.0,5.0,7.0,7.0
61,0,22.0,54620.0,Law,0,6.0,6.0,8.0,4.0,9.0,7.0
62,0,22.0,54620.0,Law,0,3.0,6.0,8.0,7.0,8.0,7.0
63,0,22.0,54620.0,Law,1,7.0,8.0,8.0,7.0,7.0,8.0
64,0,22.0,54620.0,Law,0,4.0,7.0,7.0,4.0,8.0,5.0
65,0,22.0,54620.0,Law,0,4.0,8.0,7.0,4.0,5.0,5.0
66,0,22.0,54620.0,Law,1,7.0,7.0,8.0,7.0,7.0,8.0
67,0,22.0,54620.0,Law,0,5.0,7.0,8.0,5.0,9.0,5.0
68,0,22.0,54620.0,Law,1,6.0,6.0,8.0,8.0,8.0,6.0
69,0,22.0,54620.0,Law,1,8.0,6.0,7.0,7.0,8.0,7.0
70,0,25.0,,Journalist,1,5.0,8.0,7.0,4.0,7.0,4.0
71,0,25.0,,Journalist,1,8.0,7.0,7.0,9.0,6.0,8.0
72,0,25.0,,Journalist,1,5.0,8.0,8.0,6.0,7.0,5.0
73,0,25.0,,Journalist,1,8.0,6.0,5.0,6.0,6.0,5.0
74,0,25.0,,Journalist,1,6.0,8.0,8.0,5.0,6.0,6.0
75,0,25.0,,Journalist,1,6.0,8.0,8.0,5.0,6.0,6.0
76,0,25.0,,Journalist,1,6.0,7.0,8.0,5.0,7.0,6.0
77,0,25.0,,Journalist,1,5.0,6.0,7.0,4.0,5.0,5.0
78,0,25.0,,Journalist,1,8.0,8.0,5.0,9.0,8.0,7.0
79,0,25.0,,Journalist,1,7.0,6.0,8.0,7.0,9.0,8.0
80,0,26.0,,"Congresswoman, and comedian",1,8.0,10.0,9.0,8.0,7.0,5.0
81,0,26.0,,"Congresswoman, and comedian",1,10.0,10.0,10.0,10.0,10.0,10.0
82,0,26.0,,"Congresswoman, and comedian",1,5.0,10.0,10.0,6.0,6.0,8.0
83,0,26.0,,"Congresswoman, and comedian",1,10.0,9.0,8.0,8.0,7.0,7.0
84,0,26.0,,"Congresswoman, and comedian",1,5.0,10.0,8.0,8.0,5.0,5.0
85,0,26.0,,"Congresswoman, and comedian",1,8.0,9.0,9.0,7.0,6.0,6.0
86,0,26.0,,"Congresswoman, and comedian",1,6.0,8.0,9.0,6.0,6.0,7.0
87,0,26.0,,"Congresswoman, and comedian",1,6.0,7.0,8.0,7.0,9.0,7.0
88,0,26.0,,"Congresswoman, and comedian",1,8.0,5.0,5.0,6.0,5.0,7.0
89,0,26.0,,"Congresswoman, and comedian",1,7.0,8.0,7.0,8.0,7.0,8.0
98,0,26.0,48652.0,To create early childhood intervention programs,1,9.0,9.0,9.0,9.0,9.0,9.0
99,0,26.0,48652.0,To create early childhood intervention programs,1,9.0,9.0,8.0,10.0,8.0,9.0
100,1,27.0,,"Academia, Research, Banking, Life",0,6.0,8.0,8.0,8.0,8.0,7.0
101,1,27.0,,"Academia, Research, Banking, Life",0,8.0,7.0,6.0,9.0,7.0,7.0
102,1,27.0,,"Academia, Research, Banking, Life",0,7.0,8.0,6.0,5.0,8.0,5.0
103,1,27.0,,"Academia, Research, Banking, Life",0,6.0,7.0,8.0,7.0,7.0,6.0
104,1,27.0,,"Academia, Research, Banking, Life",0,6.0,8.0,8.0,8.0,7.0,6.0
105,1,27.0,,"Academia, Research, Banking, Life",0,7.0,9.0,8.0,9.0,8.0,7.0
106,1,27.0,,"Academia, Research, Banking, Life",0,7.0,8.0,8.0,8.0,7.0,7.0
107,1,27.0,,"Academia, Research, Banking, Life",0,8.0,7.0,6.0,6.0,6.0,7.0
108,1,27.0,,"Academia, Research, Banking, Life",0,6.0,8.0,7.0,8.0,7.0,6.0
109,1,27.0,,"Academia, Research, Banking, Life",0,7.0,8.0,7.0,8.0,6.0,6.0
110,1,22.0,29237.0,Corporate Lawyer,0,7.0,8.0,10.0,7.0,7.0,8.0
111,1,22.0,29237.0,Corporate Lawyer,0,7.0,6.0,10.0,6.0,6.0,8.0
112,1,22.0,29237.0,Corporate Lawyer,0,6.0,7.0,10.0,6.0,6.0,7.0
113,1,22.0,29237.0,Corporate Lawyer,0,6.0,5.0,10.0,6.0,6.0,6.0
114,1,22.0,29237.0,Corporate Lawyer,0,6.0,7.0,10.0,7.0,6.0,7.0
115,1,22.0,29237.0,Corporate Lawyer,0,6.0,8.0,10.0,6.0,7.0,7.0
116,1,22.0,29237.0,Corporate Lawyer,1,7.0,9.0,10.0,6.0,6.0,8.0
117,1,22.0,29237.0,Corporate Lawyer,1,8.0,8.0,10.0,7.0,6.0,9.0
118,1,22.0,29237.0,Corporate Lawyer,1,8.0,8.0,10.0,7.0,6.0,8.0
119,1,22.0,29237.0,Corporate Lawyer,0,1.0,1.0,1.0,1.0,1.0,1.0
120,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
121,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
122,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
123,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
124,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
125,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
126,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
127,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
128,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
129,1,22.0,,Lawyer,1,10.0,10.0,10.0,10.0,10.0,10.0
130,1,23.0,56580.0,Corporate attorney,1,7.0,8.0,9.0,8.0,9.0,7.0
131,1,23.0,56580.0,Corporate attorney,1,9.0,9.0,9.0,9.0,9.0,9.0
132,1,23.0,56580.0,Corporate attorney,1,7.0,9.0,8.0,8.0,8.0,7.0
133,1,23.0,56580.0,Corporate attorney,1,7.0,7.0,7.0,9.0,9.0,8.0
134,1,23.0,56580.0,Corporate attorney,1,6.0,8.0,6.0,8.0,10.0,7.0
135,1,23.0,56580.0,Corporate attorney,1,6.0,8.0,8.0,7.0,9.0,7.0
136,1,23.0,56580.0,Corporate attorney,1,8.0,8.0,9.0,8.0,9.0,8.0
137,1,23.0,56580.0,Corporate attorney,1,8.0,8.0,8.0,8.0,8.0,8.0
138,1,23.0,56580.0,Corporate attorney,1,7.0,8.0,7.0,8.0,8.0,7.0
139,1,23.0,56580.0,Corporate attorney,1,7.0,8.0,7.0,9.0,8.0,7.0
140,1,24.0,36782.0,Lawyer,1,8.0,7.0,9.0,6.0,9.0,8.0
141,1,24.0,36782.0,Lawyer,1,10.0,10.0,10.0,10.0,7.0,10.0
143,1,24.0,36782.0,Lawyer,1,8.0,8.0,9.0,8.0,8.0,9.0
144,1,24.0,36782.0,Lawyer,0,5.0,9.0,9.0,7.0,9.0,5.0
145,1,24.0,36782.0,Lawyer,1,9.0,7.0,9.0,7.0,9.0,9.0
146,1,24.0,36782.0,Lawyer,1,8.0,7.0,9.0,6.0,9.0,8.0
148,1,24.0,36782.0,Lawyer,1,7.0,9.0,8.0,9.0,7.0,7.0
150,1,25.0,,research/financial industry,1,7.0,7.0,8.0,8.0,7.0,7.0
151,1,25.0,,research/financial industry,1,7.0,8.0,7.0,5.0,7.0,7.0
152,1,25.0,,research/financial industry,1,7.0,6.0,6.0,6.0,6.0,6.0
153,1,25.0,,research/financial industry,1,6.0,6.0,7.0,7.0,8.0,6.0
154,1,25.0,,research/financial industry,0,5.0,8.0,7.0,7.0,7.0,6.0
155,1,25.0,,research/financial industry,1,6.0,6.0,8.0,8.0,8.0,6.0
156,1,25.0,,research/financial industry,1,8.0,8.0,8.0,6.0,6.0,7.0
157,1,25.0,,research/financial industry,1,8.0,7.0,7.0,7.0,8.0,7.0
158,1,25.0,,research/financial industry,1,6.0,6.0,7.0,8.0,7.0,6.0
160,1,30.0,38548.0,academics or journalism,0,3.0,6.0,7.0,5.0,8.0,2.0
161,1,30.0,38548.0,academics or journalism,0,5.0,3.0,4.0,3.0,5.0,4.0
162,1,30.0,38548.0,academics or journalism,0,6.0,3.0,5.0,4.0,5.0,2.0
163,1,30.0,38548.0,academics or journalism,1,7.0,6.0,3.0,5.0,6.0,6.0
164,1,30.0,38548.0,academics or journalism,0,2.0,3.0,4.0,4.0,5.0,3.0
165,1,30.0,38548.0,academics or journalism,0,5.0,6.0,8.0,4.0,5.0,3.0
166,1,30.0,38548.0,academics or journalism,0,7.0,6.0,5.0,4.0,4.0,5.0
167,1,30.0,38548.0,academics or journalism,0,6.0,4.0,7.0,5.0,6.0,4.0
168,1,30.0,38548.0,academics or journalism,1,8.0,6.0,7.0,8.0,6.0,8.0
169,1,30.0,38548.0,academics or journalism,0,7.0,7.0,4.0,3.0,4.0,3.0
170,1,27.0,52010.0,Financial Services,0,6.0,7.0,5.0,6.0,8.0,7.0
171,1,27.0,52010.0,Financial Services,1,7.0,7.0,7.0,7.0,7.0,7.0
172,1,27.0,52010.0,Financial Services,0,4.0,5.0,6.0,4.0,6.0,5.0
173,1,27.0,52010.0,Financial Services,0,6.0,7.0,8.0,6.0,6.0,7.0
174,1,27.0,52010.0,Financial Services,0,5.0,5.0,6.0,5.0,5.0,6.0
175,1,27.0,52010.0,Financial Services,0,6.0,7.0,8.0,7.0,8.0,7.0
176,1,27.0,52010.0,Financial Services,1,8.0,7.0,6.0,7.0,7.0,7.0
177,1,27.0,52010.0,Financial Services,1,9.0,8.0,8.0,8.0,7.0,7.0
178,1,27.0,52010.0,Financial Services,0,7.0,7.0,7.0,7.0,6.0,7.0
179,1,27.0,52010.0,Financial Services,0,6.0,6.0,6.0,6.0,6.0,7.0
180,1,28.0,,ceo,1,7.0,7.0,8.0,8.0,8.0,6.5
181,1,28.0,,ceo,1,8.0,6.0,9.0,9.0,8.0,8.0
182,1,28.0,,ceo,1,7.0,7.0,6.0,8.0,7.0,7.0
183,1,28.0,,ceo,1,7.0,7.0,7.0,10.0,9.0,8.0
184,1,28.0,,ceo,1,5.0,9.0,9.0,9.0,9.0,7.0
185,1,28.0,,ceo,1,6.0,7.0,7.0,6.0,6.0,6.0
186,1,28.0,,ceo,1,9.0,7.0,9.0,9.0,9.0,9.0
187,1,28.0,,ceo,1,8.0,7.0,8.0,10.0,8.0,8.0
188,1,28.0,,ceo,1,6.0,6.0,6.0,7.0,6.0,6.0
189,1,28.0,,ceo,1,7.0,7.0,7.0,7.0,6.0,7.0
190,1,24.0,,CEO,0,6.0,6.0,6.0,6.0,6.0,6.0
191,1,24.0,,CEO,0,6.0,5.0,7.0,7.0,9.0,6.0
192,1,24.0,,CEO,0,5.0,6.0,8.0,5.0,8.0,5.0
193,1,24.0,,CEO,0,7.0,8.0,8.0,7.0,8.0,7.0
194,1,24.0,,CEO,0,3.0,10.0,7.0,7.0,10.0,4.0
195,1,24.0,,CEO,0,7.0,10.0,10.0,6.0,10.0,6.0
196,1,24.0,,CEO,0,7.0,6.0,8.0,6.0,8.0,7.0
197,1,24.0,,CEO,1,8.0,10.0,9.0,9.0,8.0,8.0
198,1,24.0,,CEO,0,5.0,6.0,6.0,6.0,6.0,6.0
199,1,24.0,,CEO,0,6.0,6.0,6.0,6.0,6.0,7.0
200,0,21.0,,Undecided,0,6.0,8.0,7.0,9.0,5.0,9.0
201,0,21.0,,Undecided,0,5.0,8.0,7.0,5.0,9.0,7.0
202,0,21.0,,Undecided,1,8.0,9.0,8.0,8.0,7.0,9.0
203,0,21.0,,Undecided,0,5.0,8.0,8.0,4.0,9.0,6.0
204,0,21.0,,Undecided,0,7.0,7.0,8.0,5.0,7.0,6.0
205,0,21.0,,Undecided,0,6.0,8.0,8.0,6.0,8.0,5.0
206,0,21.0,,Undecided,0,6.0,8.0,8.0,6.0,8.0,8.0
207,0,21.0,,Undecided,0,4.0,7.0,7.0,4.0,7.0,5.0
208,0,21.0,,Undecided,0,7.0,7.0,7.0,5.0,6.0,6.0
209,0,21.0,,Undecided,1,9.0,9.0,10.0,9.0,9.0,9.0
210,0,21.0,,Undecided,0,5.0,7.0,7.0,7.0,7.0,6.0
211,0,21.0,,Undecided,0,7.0,4.0,6.0,4.0,4.0,2.0
212,0,21.0,,Undecided,0,5.0,8.0,8.0,5.0,8.0,6.0
213,0,21.0,,Undecided,0,6.0,8.0,7.0,7.0,7.0,6.0
214,0,21.0,,Undecided,0,6.0,8.0,7.0,6.0,8.0,6.0
215,0,21.0,,Undecided,0,5.0,9.0,9.0,8.0,9.0,8.0
216,0,27.0,28418.0,Informatics,0,5.0,7.0,7.0,6.0,7.0,6.0
217,0,27.0,28418.0,Informatics,0,4.0,7.0,6.0,6.0,7.0,3.0
218,0,27.0,28418.0,Informatics,0,5.0,6.0,6.0,5.0,6.0,3.0
219,0,27.0,28418.0,Informatics,0,5.0,7.0,7.0,5.0,7.0,4.0
220,0,27.0,28418.0,Informatics,1,6.0,8.0,8.0,7.0,7.0,6.0
221,0,27.0,28418.0,Informatics,1,6.0,7.0,7.0,4.0,6.0,6.0
222,0,27.0,28418.0,Informatics,1,8.0,7.0,7.0,7.0,6.0,7.0
223,0,27.0,28418.0,Informatics,0,5.0,7.0,7.0,6.0,6.0,5.0
224,0,27.0,28418.0,Informatics,1,7.0,7.0,7.0,7.0,7.0,7.0
225,0,27.0,28418.0,Informatics,0,6.0,7.0,7.0,5.0,7.0,5.0
226,0,27.0,28418.0,Informatics,1,5.0,6.0,7.0,7.0,7.0,6.0
227,0,27.0,28418.0,Informatics,0,3.0,4.0,5.0,4.0,4.0,2.0
228,0,27.0,28418.0,Informatics,0,3.0,6.0,7.0,5.0,5.0,2.0
229,0,27.0,28418.0,Informatics,1,7.0,7.0,8.0,6.0,7.0,8.0
230,0,27.0,28418.0,Informatics,0,4.0,5.0,5.0,4.0,5.0,4.0
231,0,27.0,28418.0,Informatics,1,6.0,7.0,7.0,7.0,7.0,7.0
232,0,21.0,,psychologist,1,5.0,7.0,6.0,6.0,6.0,8.0
233,0,21.0,,psychologist,0,5.0,7.0,7.0,6.0,6.0,7.0
234,0,21.0,,psychologist,1,6.0,6.0,7.0,6.0,6.0,6.5
235,0,21.0,,psychologist,1,5.0,7.0,8.0,6.0,6.0,7.0
236,0,21.0,,psychologist,1,7.0,7.0,7.0,6.0,6.0,9.0
237,0,21.0,,psychologist,1,6.0,7.0,7.0,6.0,7.0,7.0
238,0,21.0,,psychologist,1,7.0,6.0,7.0,7.0,7.0,7.0
239,0,21.0,,psychologist,0,5.0,6.0,7.0,6.0,6.0,6.0
240,0,21.0,,psychologist,0,6.0,6.0,6.0,8.0,6.0,6.0
241,0,21.0,,psychologist,1,7.0,7.0,6.0,7.0,6.0,8.0
242,0,21.0,,psychologist,1,6.0,6.0,7.0,8.0,8.0,7.0
243,0,21.0,,psychologist,0,7.0,6.0,5.0,4.0,4.0,6.0
244,0,21.0,,psychologist,0,6.0,6.0,5.0,7.0,5.0,6.0
246,0,21.0,,psychologist,0,6.0,7.0,6.0,6.0,5.0,6.0
247,0,21.0,,psychologist,0,6.0,8.0,7.0,6.0,7.0,6.0
255,0,27.0,43185.0,health/nutrition oriented social worker,0,5.0,7.0,7.0,7.0,7.0,7.0
264,0,25.0,23152.0,Social Worker,0,7.0,8.0,9.0,6.0,8.0,6.0
265,0,25.0,23152.0,Social Worker,0,5.0,8.0,8.0,6.0,8.0,7.0
266,0,25.0,23152.0,Social Worker,0,6.0,7.0,8.0,7.0,9.0,7.0
267,0,25.0,23152.0,Social Worker,0,4.0,5.0,10.0,4.0,10.0,4.0
268,0,25.0,23152.0,Social Worker,0,6.0,7.0,9.0,7.0,9.0,5.0
269,0,25.0,23152.0,Social Worker,0,6.0,8.0,7.0,5.0,8.0,7.0
270,0,25.0,23152.0,Social Worker,0,7.0,8.0,8.0,6.0,10.0,8.0
271,0,25.0,23152.0,Social Worker,0,3.0,8.0,9.0,8.0,10.0,8.0
272,0,25.0,23152.0,Social Worker,0,7.0,8.0,8.0,8.0,6.0,7.0
273,0,25.0,23152.0,Social Worker,0,8.0,8.0,9.0,8.0,9.0,9.0
274,0,25.0,23152.0,Social Worker,0,9.0,8.0,9.0,8.0,10.0,8.0
275,0,25.0,23152.0,Social Worker,0,6.0,5.0,8.0,7.0,10.0,6.0
276,0,25.0,23152.0,Social Worker,0,5.0,4.0,7.0,5.0,9.0,5.0
277,0,25.0,23152.0,Social Worker,0,7.0,8.0,9.0,7.0,8.0,7.0
278,0,25.0,23152.0,Social Worker,0,5.0,8.0,8.0,6.0,9.0,6.0
279,0,25.0,23152.0,Social Worker,0,7.0,7.0,7.0,8.0,8.0,7.0
280,0,23.0,43664.0,Social work with children,0,2.0,5.0,5.0,3.0,5.0,2.0
281,0,23.0,43664.0,Social work with children,0,2.0,5.0,5.0,3.0,5.0,2.0
282,0,23.0,43664.0,Social work with children,0,2.0,5.0,5.0,3.0,7.0,3.0
283,0,23.0,43664.0,Social work with children,0,2.0,6.0,7.0,1.0,7.0,2.0
284,0,23.0,43664.0,Social work with children,0,3.0,8.0,7.0,6.0,6.0,5.0
285,0,23.0,43664.0,Social work with children,0,4.0,7.0,6.0,1.0,4.0,2.0
286,0,23.0,43664.0,Social work with children,0,7.0,4.0,5.0,6.0,5.0,6.0
287,0,23.0,43664.0,Social work with children,0,3.0,7.0,6.0,4.0,6.0,2.0
288,0,23.0,43664.0,Social work with children,0,6.0,5.0,5.0,7.0,6.0,4.0
289,0,23.0,43664.0,Social work with children,0,5.0,8.0,8.0,7.0,7.0,5.0
290,0,23.0,43664.0,Social work with children,0,7.0,6.0,6.0,7.0,6.0,8.0
291,0,23.0,43664.0,Social work with children,0,6.0,7.0,6.0,5.0,6.0,6.0
292,0,23.0,43664.0,Social work with children,0,2.0,7.0,6.0,4.0,4.0,5.0
293,0,23.0,43664.0,Social work with children,0,6.0,8.0,8.0,6.0,7.0,6.0
294,0,23.0,43664.0,Social work with children,0,2.0,8.0,7.0,2.0,7.0,3.0
295,0,23.0,43664.0,Social work with children,0,6.0,6.0,6.0,6.0,6.0,6.0
298,0,22.0,48441.0,Speech Language Pathologist,0,1.0,4.0,6.0,2.0,6.0,2.0
299,0,22.0,48441.0,Speech Language Pathologist,0,1.0,6.0,7.0,6.0,4.0,2.0
300,0,22.0,48441.0,Speech Language Pathologist,0,1.0,3.0,4.0,2.0,2.0,1.0
301,0,22.0,48441.0,Speech Language Pathologist,0,3.0,6.0,6.0,4.0,5.0,1.0
302,0,22.0,48441.0,Speech Language Pathologist,1,8.0,7.0,6.0,6.0,4.0,6.0
303,0,22.0,48441.0,Speech Language Pathologist,0,1.0,4.0,5.0,4.0,4.0,3.0
304,0,22.0,48441.0,Speech Language Pathologist,0,4.0,6.0,4.0,5.0,6.0,3.0
306,0,22.0,48441.0,Speech Language Pathologist,1,6.0,5.0,6.0,7.0,8.0,4.0
307,0,22.0,48441.0,Speech Language Pathologist,0,1.0,2.0,6.0,1.0,6.0,2.0
308,0,22.0,48441.0,Speech Language Pathologist,0,1.0,3.0,7.0,1.0,4.0,1.0
309,0,22.0,48441.0,Speech Language Pathologist,0,6.0,4.0,8.0,3.0,8.0,3.0
310,0,22.0,48441.0,Speech Language Pathologist,0,2.0,4.0,7.0,3.0,6.0,1.0
311,0,22.0,48441.0,Speech Language Pathologist,0,5.0,6.0,6.0,4.0,3.0,4.0
312,0,26.0,,,0,3.0,6.0,6.0,6.0,5.0,2.0
313,0,26.0,,,0,2.0,6.0,5.0,4.0,5.0,2.0
314,0,26.0,,,0,3.0,5.0,8.0,5.0,8.0,3.0
315,0,26.0,,,0,4.0,6.0,5.0,4.0,4.0,3.0
316,0,26.0,,,0,4.0,6.0,7.0,4.0,5.0,2.0
317,0,26.0,,,0,4.0,6.0,5.0,3.0,3.0,3.0
318,0,26.0,,,1,7.0,8.0,8.0,8.0,5.0,7.5
319,0,26.0,,,0,4.0,6.0,6.0,5.0,4.0,2.0
320,0,26.0,,,0,6.0,6.0,5.0,6.0,4.0,4.0
321,0,26.0,,,0,3.0,5.0,7.0,5.5,5.0,4.0
322,0,26.0,,,0,5.0,8.0,9.0,5.0,8.0,3.0
323,0,26.0,,,1,5.0,4.5,6.0,4.0,5.5,4.5
325,0,26.0,,,1,6.0,6.0,7.0,5.0,6.0,8.0
326,0,26.0,,,0,4.0,5.0,6.5,5.0,5.0,4.0
327,0,26.0,,,0,4.0,6.0,6.0,5.0,6.0,4.0
332,0,22.0,61152.0,Social Work Administration,1,8.0,6.0,7.0,3.0,7.0,6.0
333,0,22.0,61152.0,Social Work Administration,1,6.0,8.0,7.0,4.0,7.0,6.0
336,0,22.0,61152.0,Social Work Administration,1,8.0,7.0,8.0,8.0,8.0,8.0
337,0,22.0,61152.0,Social Work Administration,0,7.0,5.0,6.0,8.0,6.0,5.0
339,0,22.0,61152.0,Social Work Administration,1,6.0,7.0,7.0,4.0,6.0,6.0
340,0,22.0,61152.0,Social Work Administration,1,6.0,8.0,8.0,5.0,7.0,8.0
342,0,22.0,61152.0,Social Work Administration,0,6.0,7.0,6.0,4.0,6.0,6.0
343,0,22.0,61152.0,Social Work Administration,1,6.0,8.0,7.0,6.0,5.0,6.0
344,0,23.0,,Lawyer,0,3.0,6.0,6.0,5.0,6.0,6.0
345,0,23.0,,Lawyer,0,8.0,9.0,8.0,5.0,9.0,8.0
346,0,23.0,,Lawyer,0,6.0,7.0,8.0,7.0,8.0,8.0
347,0,23.0,,Lawyer,0,4.0,6.0,6.0,5.0,7.0,6.0
348,0,23.0,,Lawyer,0,6.0,9.0,7.0,5.0,6.0,7.0
349,0,23.0,,Lawyer,0,4.0,5.0,5.0,2.0,6.0,4.0
350,0,23.0,,Lawyer,0,8.0,7.0,7.0,7.0,5.0,7.0
351,0,23.0,,Lawyer,0,5.0,5.0,5.0,7.0,7.0,8.0
352,0,23.0,,Lawyer,0,7.0,7.0,5.0,7.0,5.0,8.0
353,0,23.0,,Lawyer,1,8.0,7.0,7.0,7.0,7.0,9.0
354,0,23.0,,Lawyer,1,7.0,7.0,8.0,8.0,7.0,8.0
355,0,23.0,,Lawyer,0,5.0,5.0,5.0,2.0,4.0,4.0
356,0,23.0,,Lawyer,0,3.0,7.0,8.0,6.0,7.0,7.0
357,0,23.0,,Lawyer,1,7.0,7.0,8.0,7.0,9.0,9.0
358,0,23.0,,Lawyer,0,3.0,5.0,8.0,4.0,7.0,6.0
359,0,23.0,,Lawyer,1,7.0,7.0,8.0,8.0,7.0,8.0
